//Exported ASCII-File
[Header]
FileName = C:\Messungen......wip
GraphName = MNPs_005_Spec.Data 1 (CRR) (Sub BG)
SizeX = 1
SizeY = 1
SizeGraph = 1650
PositionUnit = �m
PositionX = -0.000844336967005862
PositionY = -0.00250331908302678
PositionZ = 0
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	MNPs_005_Spec.Data 1 (CRR) (Sub BG)
rel. 1/cm	CCD cts
 1.34667E+03	 2.49942E+02
 1.34916E+03	 2.38600E+02
 1.35166E+03	 2.47869E+02
 1.35416E+03	 2.25314E+02
 1.35665E+03	 2.42370E+02
 1.35914E+03	 2.28235E+02
 1.36164E+03	 2.28066E+02
 1.36413E+03	 2.27907E+02
 1.36662E+03	 2.27757E+02
 1.36911E+03	 2.23662E+02
 1.37161E+03	 2.24642E+02
 1.37409E+03	 2.22265E+02
 1.37658E+03	 2.17397E+02
 1.37907E+03	 2.18072E+02
 1.38156E+03	 2.06922E+02
 1.38405E+03	 2.02981E+02
 1.38653E+03	 2.07315E+02
 1.38902E+03	 1.99224E+02
 1.39150E+03	 2.01509E+02
 1.39398E+03	 1.91136E+02
 1.39647E+03	 1.78437E+02
 1.39895E+03	 1.83013E+02
 1.40143E+03	 1.74664E+02
 1.40391E+03	 1.80290E+02
 1.40639E+03	 1.72458E+02
 1.40887E+03	 1.84966E+02
 1.41135E+03	 1.79649E+02
 1.41382E+03	 1.64640E+02
 1.41630E+03	 1.63138E+02
 1.41878E+03	 1.62045E+02
 1.42125E+03	 1.67692E+02
 1.42373E+03	 1.56713E+02
 1.42620E+03	 1.56442E+02
 1.42867E+03	 1.61278E+02
 1.43114E+03	 1.56588E+02
 1.43361E+03	 1.51906E+02
 1.43609E+03	 1.51964E+02
 1.43855E+03	 1.58629E+02
 1.44102E+03	 1.56868E+02
 1.44349E+03	 1.54914E+02
 1.44596E+03	 1.62234E+02
 1.44843E+03	 1.66461E+02
 1.45089E+03	 1.51395E+02
 1.45336E+03	 1.59936E+02
 1.45582E+03	 1.59417E+02
 1.45828E+03	 1.50505E+02
 1.46075E+03	 1.57233E+02
 1.46321E+03	 1.63534E+02
 1.46567E+03	 1.75609E+02
 1.46813E+03	 1.70724E+02
 1.47059E+03	 1.78645E+02
 1.47305E+03	 1.79174E+02
 1.47551E+03	 1.76008E+02
 1.47796E+03	 1.89516E+02
 1.48042E+03	 1.92431E+02
 1.48288E+03	 1.92319E+02
 1.48533E+03	 1.90313E+02
 1.48778E+03	 2.04447E+02
 1.49024E+03	 2.11054E+02
 1.49269E+03	 2.07368E+02
 1.49514E+03	 2.14055E+02
 1.49759E+03	 2.17814E+02
 1.50004E+03	 2.15880E+02
 1.50249E+03	 2.23620E+02
 1.50494E+03	 2.19198E+02
 1.50739E+03	 2.27950E+02
 1.50984E+03	 2.18608E+02
 1.51229E+03	 2.46206E+02
 1.51473E+03	 2.34343E+02
 1.51718E+03	 2.37120E+02
 1.51962E+03	 2.48170E+02
 1.52206E+03	 2.52726E+02
 1.52451E+03	 2.66055E+02
 1.52695E+03	 2.79723E+02
 1.52939E+03	 2.85431E+02
 1.53183E+03	 2.95346E+02
 1.53427E+03	 3.19933E+02
 1.53671E+03	 3.15559E+02
 1.53915E+03	 3.29125E+02
 1.54159E+03	 3.44531E+02
 1.54402E+03	 3.62676E+02
 1.54646E+03	 3.74294E+02
 1.54889E+03	 3.88985E+02
 1.55133E+03	 4.05815E+02
 1.55376E+03	 4.22285E+02
 1.55620E+03	 4.18194E+02
 1.55863E+03	 4.42843E+02
 1.56106E+03	 4.47698E+02
 1.56349E+03	 4.72392E+02
 1.56592E+03	 4.77326E+02
 1.56835E+03	 4.79399E+02
 1.57078E+03	 4.92779E+02
 1.57321E+03	 4.83098E+02
 1.57563E+03	 4.80290E+02
 1.57806E+03	 4.77488E+02
 1.58049E+03	 4.76826E+02
 1.58291E+03	 4.76970E+02
 1.58533E+03	 4.54654E+02
 1.58776E+03	 4.57710E+02
 1.59018E+03	 4.28906E+02
 1.59260E+03	 4.18375E+02
 1.59502E+03	 4.00017E+02
 1.59744E+03	 3.86298E+02
 1.59986E+03	 3.59420E+02
 1.60228E+03	 3.58014E+02
 1.60470E+03	 3.42714E+02
 1.60712E+03	 3.04721E+02
 1.60953E+03	 2.97601E+02
 1.61195E+03	 2.85421E+02
 1.61437E+03	 2.48347E+02
 1.61678E+03	 2.40746E+02
 1.61919E+03	 2.27752E+02
 1.62161E+03	 2.02231E+02
 1.62402E+03	 1.84183E+02
 1.62643E+03	 1.74775E+02
 1.62884E+03	 1.65273E+02
 1.63125E+03	 1.38645E+02
 1.63366E+03	 1.36924E+02
 1.63607E+03	 1.23375E+02
 1.63848E+03	 1.00134E+02
 1.64088E+03	 8.82992E+01
 1.64329E+03	 8.63713E+01
 1.64570E+03	 6.99166E+01
 1.64810E+03	 4.70358E+01
 1.65050E+03	 4.80947E+01
 1.65291E+03	 3.77277E+01
 1.65531E+03	 2.99674E+01
 1.65771E+03	 3.24476E+01
 1.66011E+03	 2.83680E+01
 1.66251E+03	 2.27957E+01
 1.66491E+03	 1.73304E+01
 1.66731E+03	 1.54388E+01
 1.66971E+03	 1.18881E+01
 1.67211E+03	 1.38446E+01
 1.67450E+03	 1.26750E+01
 1.67690E+03	 1.15131E+01
 1.67930E+03	 1.69584E+01
 1.68169E+03	 1.55112E+01
 1.68408E+03	 5.30505E+00
 1.68648E+03	 7.27319E+00
 1.68887E+03	 4.88245E+00
 1.69126E+03	 1.77994E+01
 1.69365E+03	 4.22412E+00
 1.69604E+03	-2.54309E+00
 1.69843E+03	 1.33105E+00
 1.70082E+03	-1.48868E+01
 1.70321E+03	-1.45299E+01
 1.70560E+03	-2.66455E+00
 1.70798E+03	-5.45752E+00
 1.71037E+03	-3.00879E+00
 1.71275E+03	 1.01489E+00
 1.71514E+03	 4.04785E-01
 1.71752E+03	-6.78821E+00
 1.71990E+03	-2.94299E+00
 1.72229E+03	 3.81763E+00
 1.72467E+03	 6.45947E+00
 1.72705E+03	-1.73645E+00
 1.72943E+03	-6.53931E+00
 1.73181E+03	 3.32898E+00
 1.73419E+03	 1.31030E+00
 1.73656E+03	 1.16467E+00
 1.73894E+03	-5.27441E+00
 1.74132E+03	 1.06263E+01
 1.74369E+03	 1.46692E+00
 1.74607E+03	-6.52710E-01
 1.74844E+03	-3.69141E+00
 1.75082E+03	-4.49353E+00
 1.75319E+03	-5.32385E+00
 1.75556E+03	-5.51648E+00
 1.75793E+03	 1.54639E+00
 1.76030E+03	-3.57410E+00
 1.76267E+03	 7.70044E+00
 1.76504E+03	 1.66565E+00
 1.76741E+03	 1.75464E+00
 1.76978E+03	 1.88062E+00
 1.77215E+03	-7.53638E+00
 1.77451E+03	 9.23804E+00
 1.77688E+03	-6.03259E+00
 1.77924E+03	-6.24536E+00
 1.78161E+03	 5.16882E+00
 1.78397E+03	 1.33337E+00
 1.78633E+03	-5.84473E+00
 1.78869E+03	-4.29736E+00
 1.79106E+03	-6.47778E+00
 1.79342E+03	-6.96057E+00
 1.79578E+03	 2.38525E-01
 1.79814E+03	 1.57910E+00
 1.80049E+03	 4.51465E+00
 1.80285E+03	 7.53345E+00
 1.80521E+03	 2.73499E+00
 1.80757E+03	-5.95410E+00
 1.80992E+03	-5.04150E-01
 1.81228E+03	 4.03064E+00
 1.81463E+03	-1.50513E-01
 1.81698E+03	 8.18481E-01
 1.81934E+03	 9.36462E+00
 1.82169E+03	-8.40369E+00
 1.82404E+03	 6.79688E-01
 1.82639E+03	-2.28552E+00
 1.82874E+03	-1.00220E-01
 1.83109E+03	-1.59778E+00
 1.83344E+03	-7.27905E+00
 1.83579E+03	-5.21082E+00
 1.83813E+03	-1.36023E+00
 1.84048E+03	 5.68262E+00
 1.84283E+03	 9.05066E+00
 1.84517E+03	 2.43616E+00
 1.84752E+03	 3.90527E+00
 1.84986E+03	-4.64282E+00
 1.85220E+03	-1.54126E+00
 1.85454E+03	 9.67603E+00
 1.85689E+03	-8.91602E-01
 1.85923E+03	-1.24426E+00
 1.86157E+03	-3.24402E+00
 1.86391E+03	 5.74707E-01
 1.86624E+03	 4.76318E-01
 1.86858E+03	-2.04944E+00
 1.87092E+03	-2.26599E+00
 1.87326E+03	-5.06458E+00
 1.87559E+03	-2.34595E+00
 1.87793E+03	 3.89771E-01
 1.88026E+03	-4.19141E+00
 1.88260E+03	 3.34351E+00
 1.88493E+03	 6.92725E+00
 1.88726E+03	-8.37354E+00
 1.88959E+03	 3.20703E+00
 1.89192E+03	 4.80200E+00
 1.89425E+03	-2.82178E+00
 1.89658E+03	 7.63477E+00
 1.89891E+03	 3.43811E+00
 1.90124E+03	 2.82178E+00
 1.90357E+03	 1.01807E+00
 1.90590E+03	 1.49274E+01
 1.90822E+03	 9.68250E+00
 1.91055E+03	 7.81653E+00
 1.91287E+03	 8.79590E+00
 1.91520E+03	 1.15178E+01
 1.91752E+03	 1.02142E+01
 1.91984E+03	 8.42346E+00
 1.92216E+03	 3.17859E+00
